time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.90205962197e-06,-8.06908227684e-08,10.0017786587,6.28302017005,0.00174349775968,0.0,-0.000207859696111,-9.97823074024e-06,0.0592867783388,-0.00892033114351,0.0585773538906,0.0,421.7256171946069,426.7546122423252,423.7076357885501,422.94024247822693
0.12000000000000001,-8.69897126685e-05,-8.59000204363e-06,10.0174904371,6.28212061897,0.00542938763517,0.0,-0.00312562336517,-0.00037308739661,0.464362522258,-0.0313159827834,0.0666009413384,0.0,524.4193278127082,524.9783177058491,525.8273722482032,524.273989523412
0.18,-0.000414938864134,-6.30932306706e-05,10.0503972936,6.28017699777,0.00972157065738,0.0,-0.0082717060965,-0.00165770333583,0.6324506902,-0.0346407818419,0.0799234119428,0.0,458.3580742411273,459.4191665702623,457.7454899358347,457.48050821571144
0.23999999999999996,-0.00121458160307,-0.000257891713728,10.0991498756,6.27877373164,0.0152378965379,0.0,-0.0191146839519,-0.00507047600437,0.992384745624,-0.00717186476759,0.108939760924,0.0,511.9009817722045,513.9669129820406,512.6233836044922,514.571252773715
0.3,-0.00271067325578,-0.000657520980835,10.1622556816,6.27815230166,0.021917478994,0.0,-0.0314459194143,-0.00830408997781,1.11102143553,-0.0176411296614,0.115713208537,0.0,443.2598252671379,443.82702641567136,444.514122118713,443.6555826660745
0.36000000000000004,-0.00505474133559,-0.00125859993124,10.2309375133,6.27717462914,0.0293855372599,0.0,-0.0473921727189,-0.0118302188509,1.17828760395,-0.0137290479738,0.137870416148,0.0,425.99276972941703,427.8974607510376,428.3068803173061,428.63950694093603
0.4200000000000001,-0.00858692533733,-0.00210569016869,10.3062441827,6.27630191958,0.0376273972102,0.0,-0.0712497245922,-0.0164980823227,1.3317376492,-0.0162294211716,0.136333644172,0.0,454.8819558635052,454.7758898008333,455.3736589035569,455.1737368369126
0.48000000000000015,-0.013739948545,-0.00325333934399,10.3908946259,6.27572508056,0.0462775802945,0.0,-0.101444469816,-0.0218382235891,1.48971106089,0.00111111995735,0.156452828581,0.0,454.9738058051831,456.60014311237563,457.2506263056348,458.6299427277669
0.5400000000000001,-0.0208573110239,-0.00472344753528,10.4840691416,6.27571899881,0.0554730497852,0.0,-0.136777484522,-0.0271604220445,1.61588465753,-0.00264405793007,0.145959054152,0.0,446.5907863175233,445.7561000388914,449.16288376013296,448.85826832855605
0.6000000000000002,-0.0302052266582,-0.00650242442587,10.5833308306,6.27587075064,0.0640069221882,0.0,-0.175666966882,-0.0321363595294,1.69267366489,0.011264301331,0.133489532,0.0,432.59195327086604,431.5601433164715,432.24055790769455,433.41096888038265
0.6600000000000003,-0.0420288082947,-0.0085703055783,10.6868023301,6.27731636547,0.0718179571904,0.0,-0.219211640741,-0.036681960065,1.75622494719,0.0419190960625,0.122590549115,0.0,428.78926724931904,427.8786046550758,427.42487654603144,430.02937580275267
0.7200000000000003,-0.0567055708839,-0.0108834030804,10.7952945452,6.27996101488,0.0795966883101,0.0,-0.27078129926,-0.0401552990469,1.85995486877,0.0480770439242,0.140937462969,0.0,441.3843542802591,442.9110505053351,441.0879151231556,441.5972440481784
0.7800000000000004,-0.0748096844109,-0.0133542142139,10.9120593905,6.28248318005,0.0879495758035,0.0,-0.333613135754,-0.0418950840487,2.03182848107,0.025835896263,0.135529898046,0.0,464.01710329338016,463.60951770465556,463.60136424605383,461.8514406496835
0.8400000000000004,-0.0966723196507,-0.0158763016505,11.0368796541,0.000357078167608,0.0959404522969,0.0,-0.395945577322,-0.0420319959617,2.12858393859,-0.00858270366944,0.128019453629,0.0,440.4583852105256,439.8533415671134,442.9900797551851,440.15089461592044
0.9000000000000005,-0.122353098529,-0.0183931085458,11.1666195509,6.28307080812,0.103625972012,0.0,-0.460816131773,-0.0419094810296,2.19586250072,-0.00645128311548,0.128236533776,0.0,432.5509524675406,432.58471643823793,431.33390572179377,431.5139759962211
0.9600000000000005,-0.152151308182,-0.0209116267381,11.3010726399,6.28245959748,0.111566532154,0.0,-0.533227693714,-0.0420898837618,2.28562741774,-0.0189623235906,0.139491228236,0.0,440.62206371575064,441.5676364293717,438.825957854433,437.78633857011994
1.0200000000000005,-0.186469626348,-0.0234561745625,11.440986772,6.28090926094,0.119928504248,0.0,-0.611541055016,-0.042857659132,2.37786685326,-0.0454250740568,0.139115259051,0.0,441.94575550624364,441.9329199383668,441.38122415245283,439.1916550265038
1.0800000000000005,-0.225905359208,-0.0260899968438,11.5884366871,6.27825584326,0.127979382147,0.0,-0.703854854072,-0.0452324741585,2.53664367388,-0.0419236040097,0.121838630126,0.0,462.9416857237288,461.5959766589122,462.49910723991604,462.77376608755736
1.1400000000000006,-0.270654835492,-0.0289077386817,11.7422929718,6.2751933177,0.135007740806,0.0,-0.788468471332,-0.04894257245,2.59165001058,-0.0840708420312,0.105536238941,0.0,431.0907513565459,429.72367749610436,433.06302907310476,429.50086277424987
1.2000000000000006,-0.321460094019,-0.0320716073551,11.9055965025,6.26979384764,0.141168497631,0.0,-0.90574552943,-0.0571631898361,2.85102128804,-0.105731306366,0.0962521065269,0.0,494.00060894176636,493.32352762888837,494.281834448659,492.67685240401323
1.2600000000000007,-0.378798842403,-0.035804571131,12.0798312306,6.26370844336,0.146573977446,0.0,-1.0060935563,-0.0679004089441,2.95639161439,-0.0939672631829,0.0734460907094,0.0,449.8273190073053,447.98319263068714,448.94052295457504,449.885186677887
